🕘️更新时间,#genre#
2026-04-26 19:07:20,http://172.20.0.2/hls/4018004051391834805.m3u8

📺香港综合,#genre#
ViuTV,http://172.20.0.2/hls/4018004051391834805.m3u8
港台電視 31,http://172.20.0.2/hls/3951288230346139955.m3u8
C+频道,http://172.20.0.2/hls/8182347972921618099.m3u8

📰香港新闻财经,#genre#
TVB无线新闻,http://172.20.0.2/hls/-6292839794760979757.m3u8
TVB无线新闻,http://172.20.0.2/hls/3845460189745242431.m3u8
KTSF26,http://172.20.0.2/hls/-8342256231160141013.m3u8
CGTN Documentary,http://172.20.0.2/hls/4937565900317635124.m3u8

🏀香港体育,#genre#

🎬香港影视,#genre#
AXN,http://172.20.0.2/hls/8746076950218939426.m3u8
Animax,http://172.20.0.2/hls/-5427412344370457059.m3u8
AT-X,http://172.20.0.2/hls/-9203010441539485995.m3u8
AT-X,http://172.20.0.2/hls/3427028781675998611.m3u8
AT-X,http://172.20.0.2/hls/-2859012600009762610.m3u8
TVN,http://172.20.0.2/hls/1614204465232538121.m3u8
TVN,http://172.20.0.2/hls/-8116249099653935073.m3u8

🎰澳门频道,#genre#

📡台湾新闻,#genre#
TVBS新闻,http://172.20.0.2/hls/-8074295991897439235.m3u8

📺台湾综合,#genre#
TVBS亚洲,http://172.20.0.2/hls/3032023697090869128.m3u8
TVBS亚洲,http://172.20.0.2/hls/4801315294341143824.m3u8
TVBS亚洲,http://172.20.0.2/hls/-2877965937561834044.m3u8
民视,http://172.20.0.2/hls/-3511340590777948793.m3u8
八大综合台,http://172.20.0.2/hls/374691048546871834.m3u8
八大戏剧台,http://172.20.0.2/hls/3598036408716614089.m3u8
八大第1台,http://172.20.0.2/hls/4970407511713353469.m3u8
NTD TV,http://172.20.0.2/hls/-6146837890642326200.m3u8

🎭台湾戏剧电影,#genre#
三立戏剧台,http://172.20.0.2/hls/-5653008054513822965.m3u8
中天娱乐,http://172.20.0.2/hls/284900212809543985.m3u8
纬来精采,http://172.20.0.2/hls/-2130698237801866262.m3u8
龙华日韩,http://172.20.0.2/hls/2882068977552176165.m3u8
